Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,D,
J1,AMASS_XT30PW-F,1,XT30PW-F,
J2,AMASS_XT30PW-M,1,XT30PW-M,
J3,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x06_Socket,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
J5,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
K1,SOP4PIN_PAN,1,APV1121S,
LS1,CMT-0502_CUD,1,CMT-0502-75-SMT-TR,
"Q1, Q2",TO-220-3_Horizontal_TabDown,2,STB75NF75LT4,
"Q3, Q4",TO-92_Inline,2,2N3904,
"R1, R2, R3, R4, R5, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,7,R,
U1,M5Stamp Pico,1,M5Stack-STAMP-PICO,
U2,CR-6030S Buck Module,1,CR-6030S_Buck_Converter,
"U3, U4",Adj Buck Module,2,Adj_Buck_Module,
U5,Logic Level Converter Module,1,4-channel_LevelShifter,
U6,MCP2551 Module,1,MCP2551_Module,
