Designator,Mid X,Mid Y,Rotation,Layer
D1,81.661,-119.761,0.0,top
J1,85.85205,-132.08,270.0,top
J2,85.21575,-144.232,270.0,top
J3,84.395,-70.976,180.0,top
J4,67.691,-99.822,180.0,top
J5,61.951,-55.651,90.0,top
J6,81.855,-60.308,180.0,top
K1,48.895,-138.176,270.0,top
LS1,59.908,-100.1497,180.0,top
Q1,64.008,-146.05,90.0,top
Q2,64.008,-135.382,90.0,top
Q3,47.371,-100.732,0.0,top
Q4,53.798,-100.7213,0.0,top
R1,76.327,-124.052,90.0,top
R2,48.945,-131.318,180.0,top
R3,78.867,-124.079,270.0,top
R4,47.117,-97.282,180.0,top
R5,53.544,-97.2713,0.0,top
R6,59.944,-96.012,0.0,top
R7,50.546,-144.984,270.0,top
U1,58.42,-67.818,90.0,top
U2,58.3946,-116.586,90.0,top
U3,83.058,-97.536,90.0,top
U4,83.058,-109.474,90.0,top
U5,65.1383,-86.3346,270.0,top
U6,83.2993,-83.0326,270.0,top
