Designator,Mid X,Mid Y,Rotation,Layer
BT1,163.213051,-48.387,0.0,top
BZ1,185.92,-57.39,90.0,top
C1,159.270803,-105.577601,270.0,top
C2,157.2768,-105.577601,270.0,top
D1,201.422,-99.187,180.0,top
J1,204.817,-56.308,270.0,top
J2,201.83475,-90.678,270.0,top
J3,204.834,-70.131,270.0,top
J4,150.511999,-60.305,90.0,top
J5,148.946,-73.127,0.0,top
Q3,156.337,-61.721999,90.0,top
Q4,206.0194,-45.388999,90.0,top
R1,189.06,-96.05,180.0,top
R2,194.549399,-59.7606,90.0,top
R3,189.06,-98.268,0.0,top
R4,161.0868,-63.373,180.0,top
R5,202.5694,-45.643,90.0,top
R7,163.703,-105.029,180.0,top
R8,150.445,-52.832,0.0,top
U2,195.961,-114.7064,180.0,top
U3,164.973,-117.983,180.0,top
U4,176.7459,-117.9703,180.0,top
U5,165.722301,-73.3806,270.0,top
U6,185.2803,-73.3806,270.0,top
U7,198.524999,-57.14,90.0,top
U8,161.798,-93.599,90.0,top
U9,153.162,-117.983,180.0,top
